api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507300217,36.0486681,-97.7044357,KINGFISHER,SEDLAK,#1,D & D PIPE & EQUIPMENT INC,PLUGGED,PA,OIL
3507300218,36.055995,-97.75791,KINGFISHER,CARVER,#A-1,GILLILAND OIL AND GAS INC,PLUGGED,PA,OIL
3507300219,35.8909956,-97.7609066,KINGFISHER,G R LANKARD UNIT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300220,35.9000597,-97.7311538,KINGFISHER,G M YENZER,#1,BRISCOE OIL COMPANY,PLUGGED,PA,OIL
3507300221,36.146621,-97.735631,KINGFISHER,E E SIMUNEK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300222,36.1201007,-98.1846203,KINGFISHER,A O MAY,#1,DOMINION OK TX E & P INC,PLUGGED,PA,OIL
3507300223,36.0965322,-98.1846166,KINGFISHER,SMITH UNIT,#1,SAMSON RESOURCES COMPANY,PLUGGED,PA,GAS
3507300224,36.1544319,-97.877677,KINGFISHER,SHIMANEK D,#1-6,SHELL OIL COMPANY,PLUGGED,PA,GAS
3507300225,35.979889,-98.0030003,KINGFISHER,SHERWOOD,#1,MERIDIAN OIL PRODUCTION INC,PLUGGED,PA,DRY
3507300226,36.0487215,-98.0564832,KINGFISHER,PAULSEN,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300227,36.1102441,-98.1367263,KINGFISHER,NELSON,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300231,35.8792903,-97.8688567,KINGFISHER,GASAWAY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300232,35.9146642,-97.9406074,KINGFISHER,E B KUNTZ,#1,MAGNOLIA PETROLEUM LTD,PLUGGED,PA,DRY
3507300233,35.843735,-97.676994,KINGFISHER,WAKEMAN,#1,NORTH LAKE RESOURCES LLC,OIL,AC,OIL
3507300234,35.7785168,-98.0903097,KINGFISHER,BOLLENBACH,#1-18,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
